Title,Date,Time,Content,Link
Quyên Qui chia tay,19/2/2025,13:12,"Quyên Qui cho biết cô và bạn trai vẫn yêu thương nhau nhưng quyết định chia tay vì khoảng cách. Trước đó, nữ diễn viên thành đôi với Wukong ở Đảo thiên đường.",https://znews.vn/quyen-qui-chia-tay-post1532663.html
Uông Tiểu Phi nợ Từ Hy Viên 250 triệu NDT?,19/2/2025,12:48,"Theo truyền thông Đài Loan, Uông Tiểu Phi vẫn nợ Từ Hy Viên số tiền lớn cùng phí cấp dưỡng, nuôi con sau khi 2 người ly hôn. Đó là lý do nữ diễn viên sống thiếu thốn trước khi mất.",https://znews.vn/uong-tieu-phi-no-tu-hy-vien-250-trieu-ndt-post1532654.html
Lisa khoe siêu xe,19/2/2025,12:39,Lisa mới đây khoe hai siêu xe Ferrari Purosangue và Ferrari 812 nằm trong bộ sưu tập xế hộp đắt đỏ của mình.,https://znews.vn/lisa-khoe-sieu-xe-post1532652.html
'Thần tiễn' Jeremy Renner từng hẹn hò cô gái kém 28 tuổi,19/2/2025,12:21,"Jeremy Renner và cô gái kém 28 tuổi đến với nhau vì sự đồng cảm. Nhưng sau 8 tháng hẹn hò, bộ đôi quyết định trở lại làm bạn.",https://znews.vn/than-tien-jeremy-renner-tung-hen-ho-co-gai-kem-28-tuoi-post1532619.html
Dòng người tiễn đưa Kim Sae Ron,19/2/2025,11:09,"Nhiều bạn bè, đồng nghiệp đã tới tiễn đưa Kim Sae Ron về nơi an nghỉ. Họ bật khóc trong giây phút chia ly.",https://znews.vn/dong-nguoi-tien-dua-kim-sae-ron-post1532631.html
'Na Tra 2' là phim hoạt hình kiếm nhiều tiền nhất thế giới,19/2/2025,10:09,"Hơn 20 ngày công chiếu, ""Na Tra 2"" chạm mốc 1,69 tỷ USD, trở thành phim hoạt hình ăn khách nhất thế giới.",https://znews.vn/na-tra-2-la-phim-hoat-hinh-kiem-nhieu-tien-nhat-the-gioi-post1532608.html
"Road to 8Wonder mở cổng bán vé, mang đến loạt trải nghiệm độc đáo",19/2/2025,10:04,"Lễ hội âm nhạc Road to 8Wonder - The Next Icon tại Vinhomes Royal Island (Vũ Yên, Hải Phòng) chính thức mở bán vé, trở thành tâm điểm quan tâm của giới trẻ.",https://znews.vn/road-to-8wonder-mo-cong-ban-ve-mang-den-loat-trai-nghiem-doc-dao-post1532620.html
"'Chị dâu' rời rạp, thu 113 tỷ đồng",19/2/2025,09:31,Bộ phim của Khương Ngọc chính thức kết thúc hành trình ở rạp Việt. Tác phẩm thu về 113 tỷ đồng.,https://znews.vn/chi-dau-roi-rap-thu-113-ty-dong-post1532600.html
Phim của Huỳnh Lập chất lượng vụng về vẫn dẫn đầu phòng vé,21/2/2025,06:48,"“Nhà gia tiên” nhiều gia vị, nhưng thiếu sự hòa quyện. Huỳnh Lập tham lam khi dùng thoại dẫn dắt câu chuyện và cảm xúc khán giả, song cách giải quyết mâu thuẫn phim còn vụng về.",https://znews.vn/phim-cua-huynh-lap-chat-luong-vung-ve-van-dan-dau-phong-ve-post1533000.html
Lý do 'Kẻ đồng hành' chỉ thu hơn 900 triệu đồng ở rạp Việt,20/2/2025,06:00,"""Companion"" kể câu chuyện tình đắng cay giữa con người và robot. Tác phẩm cuốn hút khi pha trộn nhiều thể loại, song mất điểm bởi kịch bản dễ đoán.",https://znews.vn/ly-do-ke-dong-hanh-chi-thu-hon-900-trieu-dong-o-rap-viet-post1532544.html
"Vì sao 'Captain America' đẩy lùi Hoàng Nam, Thu Trang?",17/2/2025,07:39,"Sức nặng của chiếc khiên mà Steve Rogers truyền lại khiến người kế nhiệm gặp rất nhiều khó khăn. Thế nhưng, Sam Wilson đã chứng minh mình xứng đáng được trao cơ hội.",https://znews.vn/vi-sao-captain-america-day-lui-hoang-nam-thu-trang-post1531960.html
Không nhận ra Jun Phạm,5/1/2025,18:17,"Jun Phạm đưa rất nhiều chất liệu dân gian vào trong single mới nhất ""Sơn Thủy Khúc"", cho thấy mức độ nghiêm túc trong âm nhạc của nam ca sĩ.",https://znews.vn/khong-nhan-ra-jun-pham-post1522652.html
Phùng Khánh Linh chịu chơi,4/1/2025,06:10,"Phùng Khánh Linh tiếp tục khai thác một thế giới âm thanh mới trong single “Em đau”, tạo nên hướng đi khác biệt hẳn với các nghệ sĩ pop trong nước khác.",https://znews.vn/phung-khanh-linh-chiu-choi-post1522426.html
Ai thống trị nhạc Việt 2025?,1/1/2025,06:07,"Sau một năm bùng nổ của các chương trình truyền hình về âm nhạc, Vpop 2025 dự kiến sẽ tiếp tục khai thác khía cạnh này, đi cùng với những trào lưu âm nhạc mới đang đổ bộ mạnh mẽ.",https://znews.vn/ai-thong-tri-nhac-viet-2025-post1521583.html
"Hoa hậu Thanh Thủy: 'Tôi không so sánh mình với ai, kể cả Thùy Tiên'",22/11/2024,06:00,"Những bình luận tiêu cực từng khiến Thanh Thủy đánh mất sự tự tin, sống thu mình lại. Phải mất một khoảng thời gian khá lâu để cô chứng minh bản thân xứng đáng với danh hiệu hoa hậu.",https://znews.vn/hoa-hau-thanh-thuy-toi-khong-so-sanh-minh-voi-ai-ke-ca-thuy-tien-post1512803.html
"Trấn Thành: 'Tiền chỉ là tờ giấy, tôi không đi tìm tờ giấy'",10/2/2024,10:00,"Hành trình trưởng thành của Trấn Thành gắn liền với cụm từ ""biết lắng nghe"". Anh lắng nghe khán giả, lắng nghe chính mình, để xem bản thân thực sự đi đúng quỹ đạo đặt ra hay chưa.",https://znews.vn/tran-thanh-tien-chi-la-to-giay-toi-khong-di-tim-to-giay-post1459702.html
MONO: 'Tôi luôn sống trong sự sẵn sàng',19/12/2023,18:00,"MONO cho biết anh rất sợ bố mẹ, anh trai phải lo lắng. Vì thế, khi xảy ra chuyện, ca sĩ tìm cách tự giải quyết, sau đó mới chia sẻ với gia đình.",https://znews.vn/mono-toi-rat-thuong-gia-dinh-post1448970.html
Diệp Lâm Anh khác lạ,27/1/2025,09:00,"Những ngày giáp Tết, Nhã Phương lăng xê đầm vải sheer mỏng quyến rũ. Diệp Lâm Anh, Thúy Ngân, Phạm Quỳnh Anh cũng trở lại đường đua mặc đẹp.",https://znews.vn/diep-lam-anh-khac-la-post1527562.html
Mặc đầm 3D cúp ngực như Thiều Bảo Trâm,20/1/2025,05:00,"Carpet Check tuần qua ghi nhận cách phối trang phục, phụ kiện ấn tượng của Tóc Tiên, Bùi Lan Hương, Thiều Bảo Trâm, Lan Ngọc.",https://znews.vn/mac-dam-3d-cup-nguc-nhu-thieu-bao-tram-post1525794.html
Huyền Baby mất điểm vì váy xẻ sâu,13/1/2025,05:31,"Trang Pháp, MLee, Phương Anh Đào thu hút ánh nhìn với mốt xẻ sâu dịp đầu năm. Cũng hưởng ứng phong cách này, Huyền Baby bị chê chọn thiết kế thiếu tinh tế.",https://znews.vn/huyen-baby-mat-diem-vi-vay-xe-sau-post1523711.html
"Khi Kỳ Duyên lấn át Minh Triệu, H'Hen Niê",28/5/2024,10:04,"Những bước slow walk của Kỳ Duyên tuy chậm rãi nhưng không lê thê, đúng tinh thần của một giai nhân. Thần thái sắc lạnh của cô thu hút được ánh nhìn của hầu hết khán giả.",https://znews.vn/khi-ky-duyen-lan-at-minh-trieu-h-hen-nie-post1477694.html
Không gian của Prada quá tẻ nhạt nhưng Brooklyn Beckham vẫn gây sốt,15/1/2024,15:11,"Những cái tên như Brooklyn Beckham, Karina, Win Metawin, Lý Hiện, Troye Sivan giúp show thời trang của Prada trở thành sự kiện nổi bật, phủ sóng trên mạng xã hội.",https://znews.vn/khong-gian-cua-prada-qua-te-nhat-nhung-brooklyn-beckham-van-gay-sot-post1454936.html
"Phương Oanh bế bụng bầu diễn thời trang, Shark Bình đến cổ vũ",6/1/2024,21:19,"Sự xuất hiện của Phương Oanh khiến show áo dài ""Nơi tôi sinh ra"" thêm thu hút. Phía sau điểm nhấn này là phần trình diễn khá ấn tượng từ nhiều nhà thiết kế.",https://znews.vn/phuong-oanh-be-bung-bau-dien-thoi-trang-shark-binh-den-co-vu-post1453266.html
Chủ nhân hit 'Drunk Text': 'Tôi rất muốn tổ chức concert ở Việt Nam',27/1/2024,16:00,Henry Moodie tiết lộ rất hứng thú với văn hóa và con người Việt Nam. Anh sẽ đến Việt Nam trong năm nay và mong muốn được tổ chức concert tại mảnh đất xinh đẹp này.,https://znews.vn/chu-nhan-hit-drunk-text-toi-rat-muon-to-chuc-concert-o-viet-nam-post1457226.html
"Nhóm nhạc nam Nhật Bản: 'Ấn tượng với Suboi, Wren Evans của Việt Nam'",23/12/2023,11:46,"Các thành viên trong nhóm nhạc PSYCHIC FEVER tiết lộ họ ấn tượng với ẩm thực, con người Việt Nam. Về âm nhạc, nhóm biết đến rapper Suboi, Wren Evans và ca khúc ""See tình"".",https://znews.vn/nhom-nhac-nam-nhat-ban-an-tuong-voi-suboi-wren-evans-cua-viet-nam-post1450479.html
Taeyong (NCT) hát 'See tình' của Hoàng Thùy Linh,9/6/2023,13:39,"Trong cuộc phỏng vấn với Tri thức trực tuyến, Taeyong gửi lời chào fan Việt qua câu hát trong bài ""See tình"" của nữ ca sĩ Hoàng Thùy Linh.",https://lifestyle.znews.vn/video-taeyong-nct-hat-see-tinh-cua-hoang-thuy-linh-post1438179.html
Title,Date,Time,Content,Link
Thấy gì khi các fandom Việt quyên góp từ thiện hàng trăm triệu đồng,21/2/2025,16:23,"Không chỉ mở fanpage ủng hộ idol, các fandom Việt còn quyên góp, xây dựng các dự án từ thiện. Chuyên gia nhận xét giới trẻ nước ta làm từ thiện khác hẳn quốc tế.",https://lifestyle.znews.vn/thay-gi-khi-cac-fandom-viet-quyen-gop-tu-thien-hang-tram-trieu-dong-post1533248.html
Quốc gia châu Á thiếu ngủ nhất nhì thế giới,21/2/2025,20:16,"Người dân chỉ ngủ trung bình 6 tiếng 27 phút mỗi đêm, Hàn Quốc được xếp hạng là một trong những quốc gia thiếu ngủ nhất thế giới. Điều tương tự cũng xảy ra tại Nhật Bản.",https://lifestyle.znews.vn/quoc-gia-chau-a-thieu-ngu-nhat-nhi-the-gioi-post1533341.html
"Cô gái 107 kg giảm 42 kg ngoạn mục, thành sao thể hình",21/2/2025,18:58,"Giảm cân thành công sau 14 tháng, Zoe Lewis chia sẻ kinh nghiệm của mình lên mạng, trở thành KOL về thể hình.",https://lifestyle.znews.vn/co-gai-107-kg-giam-42-kg-ngoan-muc-thanh-sao-the-hinh-post1533097.html
Acerpure Cool C2-UVC và Cool C3 - máy lọc không khí cho gia đình,21/2/2025,08:00,"Trong bối cảnh ô nhiễm không khí ngày càng gia tăng, việc sở hữu một thiết bị lọc không khí chất lượng cao trở thành nhu cầu thiết yếu.",https://lifestyle.znews.vn/acerpure-cool-c2-uvc-va-cool-c3-may-loc-khong-khi-cho-gia-dinh-post1533020.html
Sắc vóc người đẹp Bắc Giang sau khi kết hôn với Hà Đức Chinh,21/2/2025,17:07,"Sau khi kết hôn và sinh con đầu lòng, Mai Hà Trang, bà xã tiền đạo Hà Đức Chinh, được nhận xét ngày càng thăng hạng khí chất.",https://lifestyle.znews.vn/sac-voc-nguoi-dep-bac-giang-sau-khi-ket-hon-voi-ha-duc-chinh-post1533247.html
Vụ trộm 500 con mèo thần tài kỳ lạ ở nhà hàng của Gordon Ramsay,21/2/2025,15:33,"Theo ước tính của Ramsay, ông đã mất hơn 2.000 bảng Anh (2.500 USD) trong một tuần vì những mô hình mèo maneki-neko bị đánh cắp.",https://lifestyle.znews.vn/vu-trom-500-con-meo-than-tai-ky-la-o-nha-hang-cua-gordon-ramsay-post1533235.html
"Người phụ nữ chia nhà, mời bệnh nhân ung thư đến ở miễn phí",21/2/2025,14:48,"Thấy nhiều bệnh nhân và người nhà chật vật tìm chỗ nghỉ ngơi khi đi khám bệnh, chị Kiều Oanh mua giường chiếu, kê ở tầng một ngôi nhà đang sinh sống cho mọi người tá túc.",https://lifestyle.znews.vn/nguoi-phu-nu-chia-nha-moi-benh-nhan-ung-thu-den-o-mien-phi-post1533237.html
Bức ảnh 'rắn đối đầu' siêu thực vô tình được chụp lại trên đường phố,21/2/2025,13:40,"Số mới nhất của tạp chí Eyeshot ca ngợi sự tình cờ của cuộc sống thường ngày. Các hình ảnh nổi bật được chụp tại thành phố nổi tiếng của Thái Lan, Nhật Bản, Anh...",https://lifestyle.znews.vn/buc-anh-ran-doi-dau-sieu-thuc-vo-tinh-duoc-chup-lai-tren-duong-pho-post1533214.html
10 dấu hiệu cảnh báo thiếu collagen trong da,21/2/2025,12:36,"Collagen là loại protein dồi dào nhất trong cơ thể, đóng vai trò quan trọng trong việc duy trì độ đàn hồi, độ ẩm và sức khỏe tổng thể của da...",https://lifestyle.znews.vn/10-dau-hieu-canh-bao-thieu-collagen-trong-da-post1533223.html
Bạn gái cũ tố Elon Musk bỏ mặc con gặp nguy hiểm,21/2/2025,11:18,"Ca sĩ Grimes, bạn gái cũ của Elon Musk, mới đây phải đưa ra lời kêu gọi ""khẩn cấp"" đến tỷ phú 53 tuổi do tình trạng sức khỏe nguy cấp của đứa con chung.",https://lifestyle.znews.vn/ban-gai-cu-to-elon-musk-bo-mac-con-gap-nguy-hiem-post1533088.html
"Phản ứng bất ngờ của bố chồng khi con dâu giận dỗi, bỏ nhà đi Đà Lạt",21/2/2025,10:10,"Một lần cãi nhau với chồng, chị Mỹ Linh bỏ nhà lên Đà Lạt chơi với bạn cho khuây khỏa. Cuộc điện thoại bất ngờ từ bố chồng khiến chị bật khóc nức nở và vội vã trở về.",https://lifestyle.znews.vn/phan-ung-bat-ngo-cua-bo-chong-khi-con-dau-gian-doi-bo-nha-di-da-lat-post1533044.html
